HOME_TEAM,AWAY_TEAM,GAME NUMBER,FIRST_INDEX,LAST_INDEX
Celtics,Pacers,345.0,25793.0,25861.0
Rockets,Timberwolves,346.0,25862.0,25924.0
Bulls,76ers,347.0,25925.0,25977.0
Magic,Raptors,348.0,25978.0,26043.0
Pistons,Grizzlies,349.0,26044.0,26093.0
Cavaliers,Spurs,350.0,26094.0,26163.0
Kings,Jazz,351.0,26164.0,26250.0
Nets,Trail Blazers,352.0,26251.0,26328.0
Bulls,Mavericks,353.0,26329.0,26392.0
Hornets,Pelicans,354.0,26393.0,26454.0
Hawks,Bucks,355.0,26455.0,26527.0
Nuggets,Heat,356.0,26528.0,26588.0
Celtics,Wizards,357.0,26589.0,26690.0
Grizzlies,Knicks,358.0,26691.0,26776.0
Clippers,Kings,359.0,26777.0,26864.0
Nuggets,Pacers,360.0,26865.0,26965.0
Knicks,76ers,361.0,26966.0,27045.0
Hornets,Jazz,362.0,27046.0,27106.0
Grizzlies,Pelicans,363.0,27107.0,27175.0
Bulls,Pistons,364.0,27176.0,27261.0
Nets,Raptors,365.0,27262.0,27316.0
Celtics,Mavericks,366.0,27317.0,27402.0
Rockets,Clippers,367.0,27403.0,27486.0
Timberwolves,Pelicans,368.0,27487.0,27541.0
Nuggets,Thunder,369.0,27542.0,27637.0
Magic,76ers,370.0,27638.0,27686.0
Knicks,Jazz,371.0,27687.0,27767.0
Celtics,Raptors,372.0,27768.0,27828.0
Mavericks,Timberwolves,373.0,27829.0,27879.0
Hawks,Trail Blazers,374.0,27880.0,27962.0
Cavaliers,Clippers,375.0,27963.0,28048.0
Nuggets,Grizzlies,376.0,28049.0,28118.0
Hawks,Kings,377.0,28119.0,28209.0
Celtics,Bulls,378.0,28210.0,28281.0
Rockets,Bucks,379.0,28282.0,28362.0
Warriors,Pacers,380.0,28363.0,28428.0
Grizzlies,Timberwolves,381.0,28429.0,28498.0
Hawks,Suns,382.0,28499.0,28571.0
Nuggets,Pistons,383.0,28572.0,28640.0
Pacers,Kings,384.0,28641.0,28738.0
Nets,Thunder,385.0,28739.0,28811.0
Cavaliers,Timberwolves,386.0,28812.0,28905.0
Bulls,Heat,387.0,28906.0,28967.0
Grizzlies,Magic,388.0,28968.0,29019.0
Rockets,Pelicans,389.0,29020.0,29083.0
Pistons,Jazz,390.0,29084.0,29152.0
Hornets,Kings,391.0,29153.0,29230.0
Pacers,Clippers,392.0,29231.0,29314.0
76ers,Suns,393.0,29315.0,29380.0
Nets,Heat,394.0,29381.0,29438.0
Knicks,Thunder,395.0,29439.0,29496.0
Bucks,Magic,396.0,29497.0,29576.0
Mavericks,Lakers,397.0,29577.0,29641.0
Pistons,76ers,398.0,29642.0,29729.0
Hawks,Clippers,399.0,29730.0,29830.0
Timberwolves,Thunder,400.0,29831.0,29904.0
Hawks,Pacers,401.0,29905.0,29969.0
Nuggets,Wizards,402.0,29970.0,30059.0
Knicks,Raptors,403.0,30060.0,30122.0
Rockets,Thunder,404.0,30123.0,30205.0
Heat,Bucks,405.0,30206.0,30279.0
Clippers,Lakers,406.0,30280.0,30333.0
Nuggets,Pacers,407.0,30334.0,30404.0
Nets,Pelicans,408.0,30405.0,30464.0
Rockets,Wizards,409.0,30465.0,30564.0
Grizzlies,Kings,410.0,30565.0,30667.0
Celtics,Magic,411.0,30668.0,30790.0
Mavericks,Suns,412.0,30791.0,30855.0
Timberwolves,Trail Blazers,413.0,30856.0,30933.0
Cavaliers,Pacers,414.0,30934.0,30999.0
Nets,Pistons,415.0,31000.0,31063.0
Grizzlies,Pelicans,416.0,31064.0,31117.0
Bulls,Jazz,417.0,31118.0,31197.0
Bucks,Kings,418.0,31198.0,31281.0
Celtics,Knicks,419.0,31282.0,31346.0
Bucks,Trail Blazers,420.0,31347.0,31415.0
Lakers,Timberwolves,421.0,31416.0,31486.0
Hornets,Cavaliers,422.0,31487.0,31544.0
Warriors,Wizards,423.0,31545.0,31611.0
Thunder,Magic,424.0,31612.0,31672.0
Mavericks,Heat,425.0,31673.0,31741.0
Pelicans,Spurs,426.0,31742.0,31811.0
Nuggets,Jazz,427.0,31812.0,31912.0
Bulls,Kings,428.0,31913.0,32021.0
Clippers,Timberwolves,429.0,32022.0,32107.0
Pistons,Knicks,430.0,32108.0,32192.0
Lakers,Pelicans,431.0,32193.0,32256.0
Rockets,Suns,432.0,32257.0,32325.0
Hawks,Pacers,433.0,32326.0,32407.0
Hornets,Heat,434.0,32408.0,32480.0
Celtics,Cavaliers,435.0,32481.0,32591.0
Grizzlies,Knicks,436.0,32592.0,32663.0
Bulls,Nuggets,437.0,32664.0,32746.0
Bucks,Jazz,438.0,32747.0,32815.0
Hornets,Wizards,439.0,32816.0,32894.0
Pistons,Pacers,440.0,32895.0,32992.0
Cavaliers,Pelicans,441.0,32993.0,33044.0
Nets,76ers,442.0,33045.0,33135.0
Mavericks,Grizzlies,443.0,33136.0,33196.0
Bulls,Timberwolves,444.0,33197.0,33253.0
Lakers,Spurs,445.0,33254.0,33328.0
Warriors,Thunder,446.0,33329.0,33398.0
Nuggets,Knicks,447.0,33399.0,33460.0
Hawks,Magic,448.0,33461.0,33520.0
Clippers,Heat,449.0,33521.0,33557.0
Celtics,Kings,450.0,33558.0,33621.0
Pacers,Lakers,451.0,33622.0,33704.0
Clippers,76ers,452.0,33705.0,33778.0
Nets,Nuggets,453.0,33779.0,33844.0
Hawks,Magic,454.0,33845.0,33929.0
Grizzlies,Trail Blazers,455.0,33930.0,34010.0
Thunder,Suns,456.0,34011.0,34095.0
Knicks,Wizards,457.0,34096.0,34185.0
Mavericks,Jazz,458.0,34186.0,34274.0
Magic,Spurs,459.0,34275.0,34343.0
76ers,Kings,460.0,34344.0,34424.0
Celtics,Clippers,461.0,34425.0,34529.0
Nuggets,Pistons,462.0,34530.0,34587.0
Timberwolves,Raptors,463.0,34588.0,34676.0
Pelicans,Jazz,464.0,34677.0,34764.0
Rockets,Trail Blazers,465.0,34765.0,34826.0
Bucks,Wizards,466.0,34827.0,34894.0
Clippers,Spurs,467.0,34895.0,34949.0
Mavericks,Magic,468.0,34950.0,35018.0
Hawks,Heat,469.0,35019.0,35092.0
Grizzlies,Timberwolves,470.0,35093.0,35187.0
Pelicans,76ers,471.0,35188.0,35267.0
Pacers,Thunder,472.0,35268.0,35334.0
Hornets,Bucks,473.0,35335.0,35407.0
Nuggets,Kings,474.0,35408.0,35491.0
Lakers,Spurs,475.0,35492.0,35564.0
Hawks,Bucks,476.0,35565.0,35653.0
Pistons,Pelicans,477.0,35654.0,35735.0
Suns,Spurs,478.0,35736.0,35821.0
Nets,Hornets,479.0,35822.0,35880.0
Pacers,Magic,480.0,35881.0,35964.0
Grizzlies,Raptors,481.0,35965.0,36037.0
Bulls,Lakers,482.0,36038.0,36114.0
Trail Blazers,Jazz,483.0,36115.0,36211.0
