Game,Player Name,Number Shots,Average Shots,HOME_TEAM,AWAY_TEAM,FIRST_INDEX,LAST_INDEX,Best_Player
110.0,Kawhi Leonard,3.0,1.5,Pelicans,Spurs,8315.0,8370.0,Boban Marjanovic
111.0,Rodney Hood,4.0,2.75,Mavericks,Jazz,8371.0,8428.0,Dirk Nowitzki
111.0,Raymond Felton,2.0,1.4285714285714286,Mavericks,Jazz,8371.0,8428.0,Derrick Favors
112.0,Gary Harris,3.0,2.2,Nuggets,Suns,8429.0,8496.0,Kenneth Faried
112.0,Brandon Knight,5.0,2.0,Nuggets,Suns,8429.0,8496.0,Eric Bledsoe
113.0,Blake Griffin,7.0,2.6,Clippers,Trail Blazers,8497.0,8578.0,Chris Paul
113.0,Damian Lillard,5.0,3.0,Clippers,Trail Blazers,8497.0,8578.0,Damian Lillard
114.0,Jimmy Butler,4.0,1.8,Bulls,Warriors,8579.0,8643.0,Pau Gasol
114.0,Stephen Curry,5.0,1.8571428571428568,Bulls,Warriors,8579.0,8643.0,Stephen Curry
115.0,DeMarcus Cousins,6.0,3.25,Magic,Kings,8644.0,8709.0,Aaron Gordon
115.0,Tobias Harris,4.0,2.4,Magic,Kings,8644.0,8709.0,DeMarcus Cousins
116.0,Marcus Morris,5.0,2.8,Pistons,Wizards,8710.0,8787.0,Andre Drummond
116.0,John Wall,3.0,1.6666666666666667,Pistons,Wizards,8710.0,8787.0,John Wall
117.0,Isaiah Canaan,4.0,1.8333333333333333,Heat,76ers,8788.0,8870.0,Hassan Whiteside
117.0,Justise Winslow,3.0,2.6666666666666665,Heat,76ers,8788.0,8870.0,Jahlil Okafor
118.0,Carmelo Anthony,4.0,3.0,Rockets,Knicks,8871.0,8964.0,James Harden
118.0,Marcus Thornton,3.0,2.2,Rockets,Knicks,8871.0,8964.0,Carmelo Anthony
119.0,Blake Griffin,4.0,2.333333333333333,Clippers,Raptors,8965.0,9037.0,Chris Paul
119.0,Luis Scola,3.0,1.5,Clippers,Raptors,8965.0,9037.0,Kyle Lowry
120.0,Isaiah Thomas,5.0,2.4,Nets,Celtics,9038.0,9127.0,Brook Lopez
120.0,Jarrett Jack,4.0,2.1666666666666665,Nets,Celtics,9038.0,9127.0,Isaiah Thomas
121.0,Anthony Davis,4.0,2.25,Pelicans,Suns,9128.0,9222.0,Anthony Davis
121.0,Markieff Morris,4.0,2.333333333333333,Pelicans,Suns,9128.0,9222.0,Eric Bledsoe
122.0,Wesley Matthews,4.0,2.142857142857143,Mavericks,Thunder,9223.0,9312.0,Dirk Nowitzki
122.0,Russell Westbrook,7.0,3.0,Mavericks,Thunder,9223.0,9312.0,Russell Westbrook
123.0,D'Angelo Russell,3.0,1.8333333333333333,Lakers,Trail Blazers,9313.0,9382.0,Lou Williams
123.0,Damian Lillard,4.0,1.8,Lakers,Trail Blazers,9313.0,9382.0,Damian Lillard
124.0,Robert Covington,4.0,2.1666666666666665,Timberwolves,76ers,9383.0,9459.0,Karl-Anthony Towns
124.0,Andrew Wiggins,7.0,3.0,Timberwolves,76ers,9383.0,9459.0,Jahlil Okafor
125.0,Kawhi Leonard,4.0,2.75,Suns,Spurs,9460.0,9514.0,Mirza Teletovic
125.0,Brandon Knight,4.0,2.0,Suns,Spurs,9460.0,9514.0,Kawhi Leonard
126.0,Mike Conley,3.0,1.6666666666666667,Mavericks,Grizzlies,9515.0,9597.0,Dirk Nowitzki
126.0,Raymond Felton,3.0,1.4285714285714286,Mavericks,Grizzlies,9515.0,9597.0,Mike Conley
127.0,Pau Gasol,6.0,3.25,Bulls,Trail Blazers,9598.0,9698.0,Pau Gasol
127.0,Damian Lillard,7.0,2.8,Bulls,Trail Blazers,9598.0,9698.0,Damian Lillard
128.0,Nicolas Batum,3.0,2.4,Hornets,Wizards,9699.0,9762.0,Kemba Walker
128.0,Gary Neal,4.0,2.0,Hornets,Wizards,9699.0,9762.0,John Wall
129.0,J.R. Smith,4.0,2.4,Cavaliers,Raptors,9763.0,9823.0,LeBron James
129.0,Kyle Lowry,4.0,3.0,Cavaliers,Raptors,9763.0,9823.0,Kyle Lowry
130.0,Tony Allen,3.0,2.2,Rockets,Grizzlies,9824.0,9885.0,James Harden
130.0,Corey Brewer,3.0,2.25,Rockets,Grizzlies,9824.0,9885.0,Mike Conley
131.0,Khris Middleton,4.0,2.0,Bucks,Kings,9886.0,9974.0,Greg Monroe
131.0,Rudy Gay,3.0,1.8,Bucks,Kings,9886.0,9974.0,Rajon Rondo
132.0,Paul Millsap,4.0,2.2,Hawks,Timberwolves,9975.0,10060.0,Paul Millsap
132.0,Zach LaVine,5.0,3.25,Hawks,Timberwolves,9975.0,10060.0,Gorgui Dieng
133.0,Thaddeus Young,4.0,2.4,Nets,Thunder,10061.0,10112.0,Brook Lopez
133.0,Serge Ibaka,3.0,2.2,Nets,Thunder,10061.0,10112.0,Kevin Durant
134.0,Wesley Matthews,5.0,1.8333333333333333,Mavericks,Spurs,10113.0,10171.0,JaVale McGee
134.0,Kawhi Leonard,4.0,2.75,Mavericks,Spurs,10113.0,10171.0,Kawhi Leonard
135.0,Ish Smith,4.0,2.4,Pelicans,Suns,10172.0,10262.0,Anthony Davis
135.0,Jon Leuer,6.0,3.5,Pelicans,Suns,10172.0,10262.0,Eric Bledsoe
136.0,Chris Paul,5.0,3.0,Clippers,Jazz,10263.0,10316.0,Chris Paul
136.0,Gordon Hayward,3.0,1.75,Clippers,Jazz,10263.0,10316.0,Derrick Favors
